title,current_price,link,highest_price,lowest_price,recommendation_metric
Tissot Men's Le Locle Stainless Steel Dress Watch,715.,https://www.amazon.com/Tissot-Locle-Stainless-Steel-Leather/dp/B09X71Q9FQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.oanxahsAPoG31-LiCrQ1PZz9Yx8lRkUiRBpimCx5Uny5JoGrTbt_kY5SueY3vxomBxrADWDVWO-9bycZziK8CrzuReWilm7H4bBlpA2pOJ8b6ygT1-c1oByDPlY-phP_GaGhXUgebS99lNhnF6DbusLOVQ5vDjPFOxR0p-T3J6yQX105f8hsbooHNugnzP7tZQtcTS_77Xh0I9JEdCzc6e2iPKmZUNDFWC5kJy6V1n-Fu3nk2ha3LICj-Y9sbFbcTTM3hTg509a7O3EfJ2IixYA47ws0_kTyYS-o4PDzGmQ.b3BOh6o-n1B6uwMLLbM-fs5X7A_8t-kIjF_sjSjDmFc&dib_tag=se&keywords=tissot+le+locle&qid=1717635459&sr=8-1,N/A,N/A,N/A
Tissot Le Locle Powermatic 80 Open Heart,N/A,https://www.amazon.com/Tissot-Locle-Powermatic-Open-Heart/dp/B0C9SB8Y8Q/ref=sr_1_2?dib=eyJ2IjoiMSJ9.oanxahsAPoG31-LiCrQ1PZz9Yx8lRkUiRBpimCx5Uny5JoGrTbt_kY5SueY3vxomBxrADWDVWO-9bycZziK8CrzuReWilm7H4bBlpA2pOJ8b6ygT1-c1oByDPlY-phP_GaGhXUgebS99lNhnF6DbusLOVQ5vDjPFOxR0p-T3J6yQX105f8hsbooHNugnzP7tZQtcTS_77Xh0I9JEdCzc6e2iPKmZUNDFWC5kJy6V1n-Fu3nk2ha3LICj-Y9sbFbcTTM3hTg509a7O3EfJ2IixYA47ws0_kTyYS-o4PDzGmQ.b3BOh6o-n1B6uwMLLbM-fs5X7A_8t-kIjF_sjSjDmFc&dib_tag=se&keywords=tissot+le+locle&qid=1717635459&sr=8-2,N/A,N/A,N/A
Tissot Mens Le Locle Stainless Steel Dress Watch,765.,https://www.amazon.com/Tissot-Locle-Stainless-T0064071103300-Leather/dp/B09XHFVG4X/ref=sr_1_3?dib=eyJ2IjoiMSJ9.oanxahsAPoG31-LiCrQ1PZz9Yx8lRkUiRBpimCx5Uny5JoGrTbt_kY5SueY3vxomBxrADWDVWO-9bycZziK8CrzuReWilm7H4bBlpA2pOJ8b6ygT1-c1oByDPlY-phP_GaGhXUgebS99lNhnF6DbusLOVQ5vDjPFOxR0p-T3J6yQX105f8hsbooHNugnzP7tZQtcTS_77Xh0I9JEdCzc6e2iPKmZUNDFWC5kJy6V1n-Fu3nk2ha3LICj-Y9sbFbcTTM3hTg509a7O3EfJ2IixYA47ws0_kTyYS-o4PDzGmQ.b3BOh6o-n1B6uwMLLbM-fs5X7A_8t-kIjF_sjSjDmFc&dib_tag=se&keywords=tissot+le+locle&qid=1717635459&sr=8-3,N/A,N/A,N/A
Tissot Men's Le Locle Stainless Steel Dress Watch,715.,https://www.amazon.com/Tissot-Locle-Stainless-T0064071605300-Leather/dp/B09X73DVM2/ref=sr_1_4?dib=eyJ2IjoiMSJ9.oanxahsAPoG31-LiCrQ1PZz9Yx8lRkUiRBpimCx5Uny5JoGrTbt_kY5SueY3vxomBxrADWDVWO-9bycZziK8CrzuReWilm7H4bBlpA2pOJ8b6ygT1-c1oByDPlY-phP_GaGhXUgebS99lNhnF6DbusLOVQ5vDjPFOxR0p-T3J6yQX105f8hsbooHNugnzP7tZQtcTS_77Xh0I9JEdCzc6e2iPKmZUNDFWC5kJy6V1n-Fu3nk2ha3LICj-Y9sbFbcTTM3hTg509a7O3EfJ2IixYA47ws0_kTyYS-o4PDzGmQ.b3BOh6o-n1B6uwMLLbM-fs5X7A_8t-kIjF_sjSjDmFc&dib_tag=se&keywords=tissot+le+locle&qid=1717635459&sr=8-4,N/A,N/A,N/A
Tissot Mens Le Locle Stainless Steel Dress Watch,765.,https://www.amazon.com/Tissot-Locle-Stainless-T0064071105300-Leather/dp/B09XH7X31H/ref=sr_1_5?dib=eyJ2IjoiMSJ9.oanxahsAPoG31-LiCrQ1PZz9Yx8lRkUiRBpimCx5Uny5JoGrTbt_kY5SueY3vxomBxrADWDVWO-9bycZziK8CrzuReWilm7H4bBlpA2pOJ8b6ygT1-c1oByDPlY-phP_GaGhXUgebS99lNhnF6DbusLOVQ5vDjPFOxR0p-T3J6yQX105f8hsbooHNugnzP7tZQtcTS_77Xh0I9JEdCzc6e2iPKmZUNDFWC5kJy6V1n-Fu3nk2ha3LICj-Y9sbFbcTTM3hTg509a7O3EfJ2IixYA47ws0_kTyYS-o4PDzGmQ.b3BOh6o-n1B6uwMLLbM-fs5X7A_8t-kIjF_sjSjDmFc&dib_tag=se&keywords=tissot+le+locle&qid=1717635459&sr=8-5,N/A,N/A,N/A
Tissot Mens Classic Dream Stainless Steel Dress Watch,332.,https://www.amazon.com/Tissot-Classic-Stainless-T1294101101300-T852047916/dp/B09XHF83FT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.oanxahsAPoG31-LiCrQ1PZz9Yx8lRkUiRBpimCx5Uny5JoGrTbt_kY5SueY3vxomBxrADWDVWO-9bycZziK8CrzuReWilm7H4bBlpA2pOJ8b6ygT1-c1oByDPlY-phP_GaGhXUgebS99lNhnF6DbusLOVQ5vDjPFOxR0p-T3J6yQX105f8hsbooHNugnzP7tZQtcTS_77Xh0I9JEdCzc6e2iPKmZUNDFWC5kJy6V1n-Fu3nk2ha3LICj-Y9sbFbcTTM3hTg509a7O3EfJ2IixYA47ws0_kTyYS-o4PDzGmQ.b3BOh6o-n1B6uwMLLbM-fs5X7A_8t-kIjF_sjSjDmFc&dib_tag=se&keywords=tissot+le+locle&qid=1717635459&sr=8-6,N/A,N/A,N/A
Tissot Mens Gentleman Stainless Steel Dress Watch,N/A,https://www.amazon.com/Tissot-Gentleman-Swiss-Automatic-Stainless/dp/B07XTVQ3W7/ref=sr_1_7?dib=eyJ2IjoiMSJ9.oanxahsAPoG31-LiCrQ1PZz9Yx8lRkUiRBpimCx5Uny5JoGrTbt_kY5SueY3vxomBxrADWDVWO-9bycZziK8CrzuReWilm7H4bBlpA2pOJ8b6ygT1-c1oByDPlY-phP_GaGhXUgebS99lNhnF6DbusLOVQ5vDjPFOxR0p-T3J6yQX105f8hsbooHNugnzP7tZQtcTS_77Xh0I9JEdCzc6e2iPKmZUNDFWC5kJy6V1n-Fu3nk2ha3LICj-Y9sbFbcTTM3hTg509a7O3EfJ2IixYA47ws0_kTyYS-o4PDzGmQ.b3BOh6o-n1B6uwMLLbM-fs5X7A_8t-kIjF_sjSjDmFc&dib_tag=se&keywords=tissot+le+locle&qid=1717635459&sr=8-7,N/A,N/A,N/A
"Tissot mens Tissot PRS 516 Chronograph 316L stainless steel case Quartz Watch Set, Grey, Stainless steel, 22 (T1316171104200)",N/A,https://www.amazon.com/Tissot-Chronograph-stainless-Stainless-T1316171104200/dp/B092DP4TBF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.oanxahsAPoG31-LiCrQ1PZz9Yx8lRkUiRBpimCx5Uny5JoGrTbt_kY5SueY3vxomBxrADWDVWO-9bycZziK8CrzuReWilm7H4bBlpA2pOJ8b6ygT1-c1oByDPlY-phP_GaGhXUgebS99lNhnF6DbusLOVQ5vDjPFOxR0p-T3J6yQX105f8hsbooHNugnzP7tZQtcTS_77Xh0I9JEdCzc6e2iPKmZUNDFWC5kJy6V1n-Fu3nk2ha3LICj-Y9sbFbcTTM3hTg509a7O3EfJ2IixYA47ws0_kTyYS-o4PDzGmQ.b3BOh6o-n1B6uwMLLbM-fs5X7A_8t-kIjF_sjSjDmFc&dib_tag=se&keywords=tissot+le+locle&qid=1717635459&sr=8-8,N/A,N/A,N/A
"SEIKO SRPB77 Automatic Watch for Men - Presage Cocktail Time - Patterned Silver Dial with Gloss Finish, Date Calendar, 50m Water-Resistant",334.,https://www.amazon.com/SEIKO-SRPB77-Watch-Men-Collection/dp/B074KKQ6L4/ref=sr_1_9?dib=eyJ2IjoiMSJ9.oanxahsAPoG31-LiCrQ1PZz9Yx8lRkUiRBpimCx5Uny5JoGrTbt_kY5SueY3vxomBxrADWDVWO-9bycZziK8CrzuReWilm7H4bBlpA2pOJ8b6ygT1-c1oByDPlY-phP_GaGhXUgebS99lNhnF6DbusLOVQ5vDjPFOxR0p-T3J6yQX105f8hsbooHNugnzP7tZQtcTS_77Xh0I9JEdCzc6e2iPKmZUNDFWC5kJy6V1n-Fu3nk2ha3LICj-Y9sbFbcTTM3hTg509a7O3EfJ2IixYA47ws0_kTyYS-o4PDzGmQ.b3BOh6o-n1B6uwMLLbM-fs5X7A_8t-kIjF_sjSjDmFc&dib_tag=se&keywords=tissot+le+locle&qid=1717635459&sr=8-9,N/A,N/A,N/A
Tissot Men's PRX 316L Stainless Steel Case Dress Watch Grey T1374101104100,N/A,https://www.amazon.com/Tissot-Stainless-Steel-Dress-T1374101104100/dp/B08TB1MF6F/ref=sr_1_10?dib=eyJ2IjoiMSJ9.oanxahsAPoG31-LiCrQ1PZz9Yx8lRkUiRBpimCx5Uny5JoGrTbt_kY5SueY3vxomBxrADWDVWO-9bycZziK8CrzuReWilm7H4bBlpA2pOJ8b6ygT1-c1oByDPlY-phP_GaGhXUgebS99lNhnF6DbusLOVQ5vDjPFOxR0p-T3J6yQX105f8hsbooHNugnzP7tZQtcTS_77Xh0I9JEdCzc6e2iPKmZUNDFWC5kJy6V1n-Fu3nk2ha3LICj-Y9sbFbcTTM3hTg509a7O3EfJ2IixYA47ws0_kTyYS-o4PDzGmQ.b3BOh6o-n1B6uwMLLbM-fs5X7A_8t-kIjF_sjSjDmFc&dib_tag=se&keywords=tissot+le+locle&qid=1717635459&sr=8-10,N/A,N/A,N/A
